vid,text_input
0,"gender: men, jackettype: bomber, color: other, onfrontpage: yes"
1,"gender: men, jackettype: insulated, color: blue, onfrontpage: no"
2,"gender: men, jackettype: other, color: olive, onfrontpage: no"
3,"gender: men, jackettype: rain, color: gray, onfrontpage: no"
4,"gender: men, jackettype: other, color: black, onfrontpage: no"
5,"gender: men, jackettype: shells, color: beige, onfrontpage: no"
6,"gender: men, jackettype: field, color: beige, onfrontpage: no"
7,"gender: men, jackettype: parkas, color: navy, onfrontpage: no"
8,"gender: men, jackettype: shells, color: multi, onfrontpage: no"
9,"gender: men, jackettype: rain, color: black, onfrontpage: no"
10,"gender: men, jackettype: other, color: black, onfrontpage: no"
11,"gender: men, jackettype: insulated, color: multi, onfrontpage: no"
12,"gender: men, jackettype: field, color: olive, onfrontpage: no"
13,"gender: men, jackettype: insulated, color: multi, onfrontpage: no"
14,"gender: men, jackettype: shells, color: red, onfrontpage: no"
15,"gender: men, jackettype: insulated, color: green, onfrontpage: no"
16,"gender: men, jackettype: other, color: brown, onfrontpage: no"
17,"gender: men, jackettype: packable, color: other, onfrontpage: no"
18,"gender: men, jackettype: field, color: green, onfrontpage: no"
19,"gender: men, jackettype: track, color: black, onfrontpage: no"
20,"gender: men, jackettype: packable, color: blue, onfrontpage: no"
21,"gender: men, jackettype: waterproof, color: beige, onfrontpage: no"
22,"gender: men, jackettype: other, color: brown, onfrontpage: no"
23,"gender: men, jackettype: vests, color: multi, onfrontpage: no"
24,"gender: men, jackettype: field, color: blue, onfrontpage: no"
25,"gender: men, jackettype: waterproof, color: gray, onfrontpage: no"
26,"gender: men, jackettype: shells, color: blue, onfrontpage: no"
27,"gender: men, jackettype: fleece, color: multi, onfrontpage: no"
28,"gender: men, jackettype: vests, color: red, onfrontpage: no"
29,"gender: men, jackettype: packable, color: brown, onfrontpage: no"
30,"gender: men, jackettype: packable, color: blue, onfrontpage: no"
31,"gender: men, jackettype: packable, color: green, onfrontpage: no"
32,"gender: men, jackettype: other, color: black, onfrontpage: no"
33,"gender: men, jackettype: other, color: brown, onfrontpage: no"
34,"gender: men, jackettype: field, color: other, onfrontpage: no"
35,"gender: men, jackettype: packable, color: black, onfrontpage: no"
36,"gender: men, jackettype: rain, color: black, onfrontpage: no"
37,"gender: men, jackettype: parkas, color: green, onfrontpage: no"
38,"gender: men, jackettype: rain, color: blue, onfrontpage: no"
39,"gender: men, jackettype: vests, color: black, onfrontpage: no"
40,"gender: men, jackettype: parkas, color: black, onfrontpage: no"
41,"gender: men, jackettype: packable, color: other, onfrontpage: no"
42,"gender: men, jackettype: fleece, color: red, onfrontpage: no"
43,"gender: men, jackettype: insulated, color: multi, onfrontpage: no"
