vid,text_input
0,"gender: women, age: 20-30, location: urban, fashioninterest: very"
1,"gender: women, age: 30-40, location: suburban, fashioninterest: moderately"
2,"gender: women, age: 20-30, location: suburban, fashioninterest: moderately"
3,"gender: women, age: 40-50, location: urban, fashioninterest: moderately"
4,"gender: women, age: 30-40, location: suburban, fashioninterest: moderately"
5,"gender: women, age: 30-40, location: suburban, fashioninterest: moderately"
6,"gender: women, age: 20-30, location: suburban, fashioninterest: moderately"
7,"gender: women, age: 40-50, location: urban, fashioninterest: moderately"
8,"gender: women, age: 40-50, location: suburban, fashioninterest: moderately"
9,"gender: women, age: 30-40, location: rural, fashioninterest: moderately"
10,"gender: women, age: 20-30, location: rural, fashioninterest: moderately"
11,"gender: women, age: 50-60, location: urban, fashioninterest: moderately"
12,"gender: women, age: 30-40, location: suburban, fashioninterest: moderately"
13,"gender: women, age: 40-50, location: urban, fashioninterest: very"
14,"gender: women, age: 40-50, location: suburban, fashioninterest: moderately"
15,"gender: women, age: 20-30, location: suburban, fashioninterest: moderately"
16,"gender: women, age: 50-60, location: rural, fashioninterest: moderately"
17,"gender: women, age: 20-30, location: rural, fashioninterest: moderately"
18,"gender: women, age: 50-60, location: suburban, fashioninterest: moderately"
19,"gender: women, age: 30-40, location: urban, fashioninterest: moderately"
20,"gender: women, age: 30-40, location: rural, fashioninterest: moderately"
21,"gender: women, age: 20-30, location: suburban, fashioninterest: moderately"
22,"gender: women, age: 50-60, location: suburban, fashioninterest: moderately"
23,"gender: women, age: over 60, location: rural, fashioninterest: moderately"
24,"gender: women, age: 20-30, location: urban, fashioninterest: moderately"
25,"gender: women, age: 20-30, location: suburban, fashioninterest: moderately"
26,"gender: women, age: 30-40, location: rural, fashioninterest: moderately"
27,"gender: women, age: 30-40, location: urban, fashioninterest: moderately"
28,"gender: women, age: 20-30, location: urban, fashioninterest: moderately"
29,"gender: women, age: 30-40, location: rural, fashioninterest: very"
30,"gender: women, age: 20-30, location: rural, fashioninterest: moderately"
31,"gender: women, age: 40-50, location: suburban, fashioninterest: moderately"
32,"gender: women, age: 20-30, location: urban, fashioninterest: moderately"
33,"gender: women, age: 20-30, location: urban, fashioninterest: very"
34,"gender: women, age: 30-40, location: urban, fashioninterest: not at all"
35,"gender: women, age: 20-30, location: urban, fashioninterest: moderately"
36,"gender: women, age: 20-30, location: urban, fashioninterest: very"
37,"gender: women, age: 40-50, location: urban, fashioninterest: moderately"
38,"gender: women, age: 30-40, location: urban, fashioninterest: moderately"
39,"gender: women, age: 20-30, location: urban, fashioninterest: very"
40,"gender: women, age: 30-40, location: suburban, fashioninterest: moderately"
41,"gender: women, age: 20-30, location: suburban, fashioninterest: moderately"
42,"gender: women, age: 40-50, location: urban, fashioninterest: moderately"
43,"gender: women, age: 30-40, location: rural, fashioninterest: moderately"
44,"gender: women, age: 50-60, location: rural, fashioninterest: moderately"
45,"gender: women, age: 20-30, location: suburban, fashioninterest: very"
46,"gender: women, age: 50-60, location: rural, fashioninterest: moderately"
47,"gender: women, age: 30-40, location: suburban, fashioninterest: moderately"
48,"gender: women, age: 50-60, location: urban, fashioninterest: very"
49,"gender: women, age: 30-40, location: rural, fashioninterest: moderately"
50,"gender: women, age: over 60, location: urban, fashioninterest: moderately"
